Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Justin Bailey,VAN,RW,29,1995-07-01,Buffalo,NY,USA,USA,76,214,2013,BUF,2,22,52
Justin Braun,PHI,D,38,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,S.J,7,20,201
Justin Dowling,DAL,C,34,1990-10-01,Calgary,AB,CAN,CAN,70,180,-,-,-,-,-
Justin Faulk,STL,D,33,1992-03-20,South St.Paul,MN,USA,USA,72,214,2010,CAR,2,7,37
Justin Holl,TOR,D,33,1992-01-30,Tonka Bay,MN,USA,USA,75,197,2010,CHI,2,24,54
Justin Richards,NYR,C,27,1998-03-17,Orlando,FL,USA,USA,71,190,-,-,-,-,-
Justin Schultz,WSH,D,34,1990-07-06,Kelowna,BC,CAN,CAN,74,190,2008,ANA,2,13,43
Juuso Riikola,PIT,D,31,1993-11-09,Joensuu,,FIN,,72,189,-,-,-,-,-
Juuso Valimaki,CGY,D,26,1998-10-06,Tampere,,FIN,FIN,74,205,2017,CGY,1,16,16
K'Andre Miller,NYR,D,25,2000-01-21,St. Paul,MN,USA,USA,77,215,2018,NYR,1,22,22
Kaapo Kakko,NYR,RW,24,2001-02-13,Turku,,FIN,FIN,74,206,2019,NYR,1,2,2
Kailer Yamamoto,EDM,RW,26,1998-09-29,Spokane,WA,USA,USA,68,153,2017,EDM,1,22,22
Kale Clague,LAK,D,26,1998-06-05,Regina,SK,CAN,CAN,72,190,2016,L.A,2,21,51
Karson Kuhlman,BOS,C,29,1995-09-26,Esko,MN,USA,USA,70,184,-,-,-,-,-
Kasperi Kapanen,PIT,RW,28,1996-07-23,Kuopio,,FIN,FIN,73,194,2014,PIT,1,22,22
Keaton Middleton,COL,D,27,1998-02-10,Edmonton,AB,CAN,CAN,78,240,2016,TOR,4,10,101
Keegan Kolesar,VGK,RW,28,1997-04-08,Brandon,MB,CAN,CAN,74,217,2015,CBJ,3,8,69
Keith Yandle,FLA,D,38,1986-09-09,Boston,MA,USA,USA,73,192,2005,PHX,4,14,105
Kenny Agostino,TOR,LW,33,1992-04-30,Morristown,NJ,USA,USA,72,204,2010,PIT,5,20,140
Kevan Miller,BOS,D,37,1987-11-15,Los Angeles,CA,USA,USA,74,210,-,-,-,-,-
Kevin Bahl,NJD,D,24,2000-06-27,New Westminster,BC,CAN,CAN,78,230,-,-,-,-,-
Kevin Connauton,FLA,D,35,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,VAN,3,22,83
Kevin Czuczman,PIT,D,34,1991-01-09,Port Elgin,ON,CAN,CAN,75,195,-,-,-,-,-
Kevin Fiala,MIN,LW,28,1996-07-22,St. Gallen,,CHE,CHE,70,204,2014,NSH,1,11,11
Kevin Hayes,PHI,C,32,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,CHI,1,24,24
Kevin Labanc,SJS,RW,29,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,S.J,6,21,171
Kevin Rooney,NYR,C,31,1993-05-21,Canton,MA,USA,USA,74,190,-,-,-,-,-
Kevin Shattenkirk,ANA,D,36,1989-01-29,New Rochelle,NY,USA,USA,72,212,2007,COL,1,14,14
Kevin Stenlund,CBJ,C,28,1996-09-20,Huddinge,,SWE,SWE,77,215,2015,CBJ,2,28,58
Kiefer Sherwood,COL,LW,30,1995-03-31,Columbus,OH,USA,USA,72,194,-,-,-,-,-
Kieffer Bellows,NYI,LW,26,1998-06-10,Edina,MN,USA,USA,73,195,2016,NYI,1,19,19
Kirby Dach,CHI,C,24,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,212,2019,CHI,1,3,3
Kirill Kaprizov,MIN,LW,28,1997-04-26,Novokuznetsk,,RUS,RUS,70,202,2015,MIN,5,14,135
Klim Kostin,STL,C,25,1999-05-05,Penza,,RUS,RUS,75,215,2017,STL,1,31,31
Kole Lind,VAN,RW,26,1998-10-16,Swift Current,SK,CAN,CAN,73,178,2017,VAN,2,2,33
Kole Sherwood,CBJ,RW,28,1997-01-22,Columbus,OH,USA,USA,73,212,-,-,-,-,-
Kris Letang,PIT,D,38,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
Kris Russell,EDM,D,38,1987-05-02,Caroline,AB,CAN,CAN,70,170,2005,CBJ,3,6,67
Kristian Vesalainen,WPG,LW,25,1999-06-01,Helsinki,,FIN,FIN,75,207,2017,WPG,1,24,24
Kurtis Gabriel,SJS,RW,32,1993-04-20,Newmarket,ON,CAN,CAN,76,212,2013,MIN,3,20,81
Kurtis MacDermid,LAK,D,31,1994-03-25,Sauble Beach,ON,CAN,CAN,77,233,-,-,-,-,-
Kyle Burroughs,COL,D,29,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,NYI,7,15,196
Kyle Capobianco,ARI,D,27,1997-08-13,Mississauga,ON,CAN,CAN,74,201,2015,ARI,3,2,63
Kyle Clifford,STL,LW,34,1991-01-13,Ayr,ON,CAN,CAN,74,217,2009,L.A,2,5,35
Kyle Connor,WPG,LW,28,1996-12-09,Shelby Twp.,MI,USA,USA,74,179,2015,WPG,1,17,17
Kyle Okposo,BUF,RW,37,1988-04-16,St. Paul,MN,USA,USA,72,218,2006,NYI,1,7,7
Kyle Palmieri,"NJD, NYI","C, RW",34,1991-02-01,Smithtown,NY,USA,USA,71,198,2009,ANA,1,26,26
Kyle Rau,MIN,C,32,1992-10-24,Eden Prairie,MN,USA,USA,69,171,2011,FLA,3,30,91
Kyle Turris,EDM,C,35,1989-08-14,New Westminster,BC,CAN,CAN,73,190,2007,PHX,1,3,3
Lane Pederson,ARI,C,27,1997-08-04,Saskatoon,SK,CAN,CAN,72,192,-,-,-,-,-
Lars Eller,WSH,C,35,1989-05-08,Rodovre,,DNK,DNK,74,205,2007,STL,1,13,13
Lawson Crouse,ARI,LW,27,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,215,2015,FLA,1,11,11
Lean Bergmann,SJS,C,26,1998-10-04,Hemer,,DEU,DEU,74,205,-,-,-,-,-
Leo Komarov,NYI,RW,38,1987-01-23,Narva,,EST,FIN,71,205,2006,TOR,6,27,180
Leon Draisaitl,EDM,C,29,1995-10-27,Cologne,,DEU,DEU,74,208,2014,EDM,1,3,3
Liam Foudy,CBJ,C,25,2000-02-04,Toronto,ON,CAN,CAN,74,188,2018,CBJ,1,18,18
Liam O'Brien,COL,C,30,1994-07-29,Halifax,NS,CAN,CAN,73,213,-,-,-,-,-
Lias Andersson,LAK,C,26,1998-10-13,Smogen,,SWE,SWE,73,185,2017,NYR,1,7,7
Libor Hajek,NYR,D,27,1998-02-04,Smrcek,,CZE,CZE,74,209,2016,T.B,2,7,37
Logan Brown,OTT,C,27,1998-03-05,Raleigh,NC,USA,USA,78,218,2016,OTT,1,11,11
Logan Couture,SJS,C,36,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,S.J,1,9,9
Logan O'Connor,COL,RW,28,1996-08-14,Missouri City,TX,USA,USA,72,175,-,-,-,-,-
Logan Stanley,WPG,D,26,1998-05-26,Waterloo,ON,CAN,CAN,79,242,2016,WPG,1,18,18
Loui Eriksson,VAN,LW,39,1985-07-17,Gothenburg,,SWE,SWE,74,179,2003,DAL,2,3,33
Louie Belpedio,MIN,D,28,1996-05-14,Skokie,IL,USA,USA,71,197,2014,MIN,3,20,80
Luca Sbisa,NSH,D,35,1990-01-30,Ozieri,,ITA,CHE,74,206,2008,PHI,1,19,19
Lucas Carlsson,CHI,D,27,1997-07-05,Gavle,,SWE,SWE,72,189,2016,CHI,4,19,110
Lucas Wallmark,"CHI, FLA",C,29,1995-09-05,Umea,,SWE,SWE,72,178,2014,CAR,4,7,97
Luke Glendening,DET,C,36,1989-04-28,Grand Rapids,MI,USA,USA,71,190,-,-,-,-,-
Luke Johnson,MIN,C,30,1994-09-19,Grand Forks,ND,USA,USA,71,174,2013,CHI,5,13,134
Luke Kunin,NSH,C,27,1997-12-04,Chesterfield,MO,USA,USA,72,197,2016,MIN,1,15,15
Luke Schenn,TBL,D,35,1989-11-02,Saskatoon,SK,CAN,CAN,74,225,2008,TOR,1,5,5
MacKenzie Entwistle,CHI,RW,25,1999-07-14,Georgetown,ON,CAN,CAN,75,184,2017,ARI,3,7,69
MacKenzie Weegar,FLA,D,31,1994-01-07,Ottawa,ON,CAN,CAN,72,206,2013,FLA,7,25,206
Mackenzie MacEachern,STL,LW,31,1994-03-09,Bloomfield Hills,MI,USA,USA,74,193,2012,STL,3,6,67
Madison Bowey,CHI,D,30,1995-04-22,Winnipeg,MB,CAN,CAN,73,207,2013,WSH,2,23,53
Maksim Sushko,PHI,RW,26,1999-02-10,Drogichin,,BLR,BLR,72,206,2017,PHI,4,14,107
Marc Michaelis,VAN,LW,29,1995-07-31,Mannheim,,DEU,DEU,71,187,-,-,-,-,-
Marc Staal,DET,D,38,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
Marc-Edouard Vlasic,SJS,D,38,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,S.J,2,5,35
Marco Scandella,STL,D,35,1990-02-23,Montreal,QC,CAN,CAN,75,212,2008,MIN,2,25,55
Marcus Foligno,MIN,LW,33,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,BUF,4,13,104
Marcus Johansson,MIN,C,34,1990-10-06,Landskrona,,SWE,SWE,73,203,2009,WSH,1,24,24
Marcus Pettersson,PIT,D,28,1996-05-08,Skellefteå,,SWE,SWE,75,177,2014,ANA,2,8,38
Marcus Sorensen,SJS,LW,33,1992-04-07,Sodertalje,,SWE,SWE,71,175,2010,OTT,4,16,106
Marian Studenic,NJD,RW,26,1998-10-28,Skalica,,SVK,SVK,73,190,2017,N.J,5,19,143
Mario Ferraro,SJS,D,26,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,S.J,2,18,49
Mark Alt,LAK,D,33,1991-10-18,Kansas City,MO,USA,USA,76,201,2010,CAR,2,23,53
Mark Borowiecki,NSH,D,35,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,OTT,5,18,139
Mark Friedman,"PHI, PIT",D,29,1995-12-25,Toronto,ON,CAN,CAN,71,185,2014,PHI,3,26,86
Mark Giordano,CGY,D,41,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
Mark Jankowski,PIT,C,30,1994-09-13,Hamilton,ON,CAN,CAN,76,212,2012,CGY,1,21,21
Mark Pysyk,DAL,D,33,1992-01-11,Sherwood Park,AB,CAN,CAN,73,198,2010,BUF,1,23,23
Mark Scheifele,WPG,C,32,1993-03-15,Kitchener,ON,CAN,CAN,75,198,2011,WPG,1,7,7
Mark Stone,VGK,RW,32,1992-05-13,Winnipeg,MB,CAN,CAN,75,217,2010,OTT,6,28,178
Markus Nutivaara,FLA,D,30,1994-06-06,Oulu,,FIN,FIN,73,187,2015,CBJ,7,8,189
Martin Frk,LAK,RW,31,1993-10-05,Pelhrimov,,CZE,CZE,73,210,2012,DET,2,19,49
Martin Kaut,COL,RW,25,1999-10-02,Brno,,CZE,CZE,74,190,2018,COL,1,16,16
Martin Necas,CAR,C,26,1999-01-15,Nove Mesto na Morave,,CZE,CZE,74,189,2017,CAR,1,12,12
Mason Appleton,WPG,C,29,1996-01-15,Green Bay,WI,USA,USA,75,197,2015,WPG,6,17,168
Mason Marchment,FLA,LW,29,1995-06-18,Uxbridge,ON,CAN,,76,210,-,-,-,-,-
Mathew Barzal,NYI,C,27,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,NYI,1,16,16
Mathias Brome,DET,LW,30,1994-07-29,Orby,,SWE,SWE,72,183,-,-,-,-,-
Mathieu Joseph,TBL,RW,28,1997-02-09,Laval,QC,CAN,CAN,73,187,2015,T.B,4,29,120
Mathieu Olivier,NSH,RW,28,1997-02-11,Biloxi,MS,USA,USA,73,217,-,-,-,-,-
Mathieu Perreault,WPG,LW,37,1988-01-05,Drummondville,QC,CAN,CAN,70,189,2006,WSH,6,24,177
Mats Zuccarello,MIN,RW,37,1987-09-01,Oslo,,NOR,NOR,68,181,-,-,-,-,-
Matt Bartkowski,MIN,D,36,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,FLA,7,9,190
Matt Calvert,COL,LW,35,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,CBJ,5,6,127
Matt Duchene,NSH,C,34,1991-01-16,Haliburton,ON,CAN,CAN,71,195,2009,COL,1,3,3
Matt Dumba,MIN,D,30,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,MIN,1,7,7
Matt Grzelcyk,BOS,D,31,1994-01-05,Charlestown,MA,USA,USA,70,176,2012,BOS,3,24,85
Matt Irwin,BUF,D,37,1987-11-29,Victoria,BC,CAN,CAN,74,200,-,-,-,-,-
Matt Kiersted,FLA,D,27,1998-04-14,ELK RIVER,MN,USA,USA,72,181,-,-,-,-,-
Matt Luff,LAK,RW,27,1997-05-05,Oakville,ON,CAN,CAN,74,196,-,-,-,-,-
Matt Martin,NYI,LW,35,1989-05-08,Windsor,ON,CAN,CAN,75,220,2008,NYI,5,27,148
Matt Nieto,SJS,LW,32,1992-11-05,Long Beach,CA,USA,USA,71,187,2011,S.J,2,17,47
Matt Roy,LAK,D,30,1995-03-01,Detroit,MI,USA,USA,73,205,2015,L.A,7,13,194
Matt Tennyson,NJD,D,35,1990-04-23,Minneapolis,MN,USA,USA,74,205,-,-,-,-,-
Matthew Benning,NSH,D,30,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,BOS,6,24,175
Matthew Highmore,"CHI, VAN",C,29,1996-02-27,Halifax,NS,CAN,CAN,71,188,-,-,-,-,-
Matthew Peca,OTT,C,32,1993-04-27,Petawawa,ON,CAN,CAN,70,181,2011,T.B,7,20,201
Matthew Phillips,CGY,C,27,1998-04-06,Calgary,AB,CAN,CAN,67,140,2016,CGY,6,15,166
Matthew Tkachuk,CGY,LW,27,1997-12-11,Scottsdale,AZ,USA,USA,74,201,2016,CGY,1,6,6
Mattias Ekholm,NSH,D,34,1990-05-24,Borlange,,SWE,SWE,76,215,2009,NSH,4,11,102
Mattias Janmark,"CHI, VGK",C,32,1992-12-08,Stockholm,,SWE,SWE,73,205,2013,DET,3,18,79
Mattias Samuelsson,BUF,D,25,2000-03-14,Philadelphia,PA,USA,USA,76,231,2018,BUF,2,1,32
Max Comtois,ANA,LW,26,1999-01-08,Longueuil,QC,CAN,CAN,74,210,2017,ANA,2,19,50
Max Domi,CBJ,C,30,1995-03-02,Winnipeg,MB,CAN,CAN,70,194,2013,PHX,1,12,12
Max Jones,ANA,LW,27,1998-02-17,Rochester,MI,USA,USA,75,216,2016,ANA,1,24,24
Max McCormick,CAR,LW,33,1992-05-01,De Pere,WI,USA,USA,71,188,2011,OTT,6,20,171
Max Pacioretty,VGK,LW,36,1988-11-20,New Canaan,CT,USA,USA,74,217,2007,MTL,1,22,22
Michael Amadio,"LAK, OTT",C,28,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,204,2014,L.A,3,30,90
Michael Bunting,ARI,LW,29,1995-09-17,Scarborough,ON,CAN,CAN,72,192,2014,ARI,4,27,117
Michael Chaput,ARI,C,33,1992-04-09,Ile Bizard,QC,CAN,CAN,74,199,2010,PHI,3,29,89
Michael Dal Colle,NYI,LW,28,1996-06-20,Richmond Hill,ON,CAN,CAN,75,195,2014,NYI,1,5,5
Michael Del Zotto,CBJ,D,34,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,NYR,1,20,20
Michael Frolik,MTL,RW,37,1988-02-17,Kladno,,CZE,CZE,73,186,2006,FLA,1,10,10
Michael McCarron,NSH,RW,30,1995-03-07,Grosse Pointe,MI,USA,USA,78,232,2013,MTL,1,25,25
Michael McLeod,NJD,C,27,1998-02-03,Mississauga,ON,CAN,CAN,74,190,2016,N.J,1,12,12
Michael Raffl,"PHI, WSH",LW,36,1988-12-01,Villach,,AUT,AUT,73,205,-,-,-,-,-
Michael Rasmussen,DET,C,26,1999-04-17,Vancouver,BC,CAN,CAN,78,211,2017,DET,1,9,9
Michael Sgarbossa,WSH,C,32,1992-07-25,Campbellville,ON,CAN,CAN,72,179,-,-,-,-,-
Michael Stone,CGY,D,34,1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,PHX,3,8,69
Micheal Haley,OTT,LW,39,1986-03-30,Guelph,ON,CAN,CAN,71,213,-,-,-,-,-
Mika Zibanejad,NYR,C,32,1993-04-18,Huddinge,,SWE,SWE,74,202,2011,OTT,1,6,6
Mikael Backlund,CGY,C,36,1989-03-17,Vasteras,,SWE,SWE,72,206,2007,CGY,1,24,24
Mikael Granlund,NSH,C,33,1992-02-26,Oulu,,FIN,FIN,70,185,2010,MIN,1,9,9
Mike Hardman,CHI,LW,26,1999-02-05,HANOVER,MA,USA,USA,74,205,-,-,-,-,-
Mike Hoffman,STL,C,35,1989-11-24,Kitchener,ON,CAN,CAN,72,190,2009,OTT,5,9,130
Mike Matheson,PIT,D,31,1994-02-27,Pointe-Claire,QC,CAN,CAN,74,193,2012,FLA,1,23,23
Mike Reilly,"BOS, OTT",D,31,1993-07-13,Chicago,IL,USA,USA,73,196,2011,CBJ,4,7,98
Mikey Anderson,LAK,D,25,1999-05-25,Fridley,MN,USA,USA,72,195,2017,L.A,4,10,103
Mikhail Grigorenko,CBJ,C,30,1994-05-16,Khabarovsk,,RUS,RUS,75,206,2012,BUF,1,12,12
Mikhail Maltsev,NJD,LW,27,1998-03-12,St. Petersburg,,RUS,RUS,75,198,2016,N.J,4,11,102
Mikhail Sergachev,TBL,D,26,1998-06-25,Nizhnekamsk,,RUS,RUS,73,217,2016,MTL,1,9,9
Mikko Koivu,CBJ,C,42,1983-03-12,Turku,,FIN,FIN,75,213,2001,MIN,1,6,6
Mikko Lehtonen,"CBJ, TOR",D,31,1994-01-16,Turku,,FIN,FIN,72,196,-,-,-,-,-
Mikko Rantanen,COL,RW,28,1996-10-29,Nousiainen,,FIN,FIN,76,215,2015,COL,1,10,10
Milan Lucic,CGY,LW,36,1988-06-07,Vancouver,BC,CAN,CAN,75,240,2006,BOS,2,20,50
Miles Wood,NJD,LW,29,1995-09-13,Buffalo,NY,USA,USA,74,195,2013,N.J,4,9,100
Miro Heiskanen,DAL,D,25,1999-07-18,Espoo,,FIN,FIN,73,195,2017,DAL,1,3,3
Mitch Marner,TOR,RW,27,1997-05-05,Markham,ON,CAN,CAN,72,181,2015,TOR,1,4,4
Mitchell Stephens,TBL,C,28,1997-02-05,Peterborough,ON,CAN,CAN,71,190,2015,T.B,2,3,33
Morgan Barron,NYR,C,26,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,NYR,6,19,174
Morgan Frost,PHI,C,25,1999-05-14,Aurora,ON,CAN,CAN,71,170,2017,PHI,1,27,27
Morgan Geekie,CAR,C,26,1998-07-20,Strathclair,MB,CAN,CAN,75,200,2017,CAR,3,5,67
Morgan Rielly,TOR,D,31,1994-03-09,Vancouver,BC,CAN,CAN,73,222,2012,TOR,1,5,5
Nate Prosser,PHI,D,38,1986-05-07,Elk River,MN,USA,USA,74,201,-,-,-,-,-
Nate Schmidt,VAN,D,33,1991-07-16,St. Cloud,MN,USA,USA,72,195,-,-,-,-,-
Nate Thompson,WPG,C,40,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,BOS,6,16,183
Nathan Bastian,NJD,RW,27,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,N.J,2,11,41
Nathan Beaulieu,WPG,D,32,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,MTL,1,17,17
Nathan Gerbe,CBJ,C,37,1987-07-24,Oxford,MI,USA,USA,64,176,2005,BUF,5,17,142
Nathan MacKinnon,COL,C,29,1995-09-01,Halifax,NS,CAN,CAN,72,200,2013,COL,1,1,1
Nathan Walker,STL,LW,31,1994-02-07,Cardiff,,GBR,AUS,69,187,2014,WSH,3,29,89
Nazem Kadri,COL,C,34,1990-10-06,London,ON,CAN,CAN,72,185,2009,TOR,1,7,7
Neal Pionk,WPG,D,29,1995-07-29,Hermantown,MN,USA,USA,72,185,-,-,-,-,-
Nic Dowd,WSH,C,34,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,L.A,7,17,198
Nic Petan,TOR,C,30,1995-03-22,Delta,BC,CAN,CAN,69,175,2013,WPG,2,13,43
Nicholas Merkley,NJD,RW,27,1997-05-23,Calgary,AB,CAN,CAN,70,195,2015,ARI,1,30,30
Nicholas Robertson,TOR,LW,23,2001-09-11,Pasadena,CA,USA,USA,69,183,2019,TOR,2,22,53
Nick Bjugstad,MIN,C,32,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,FLA,1,19,19
Nick Bonino,MIN,C,37,1988-04-20,Hartford,CT,USA,USA,73,195,2007,S.J,6,22,173
Nick Caamano,DAL,RW,26,1998-09-07,Hamilton,ON,CAN,CAN,75,205,2016,DAL,5,25,146
Nick Cousins,NSH,C,31,1993-07-20,Belleville,ON,CAN,CAN,71,192,2011,PHI,3,7,68
Nick Foligno,"CBJ, TOR",LW,37,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,OTT,1,28,28
Nick Holden,VGK,D,37,1987-05-15,St. Albert,AB,CAN,CAN,76,210,-,-,-,-,-
Nick Jensen,WSH,D,34,1990-09-21,St. Paul,MN,USA,USA,73,205,2009,DET,5,29,150
Nick Leddy,NYI,D,34,1991-03-20,Eden Prairie,MN,USA,USA,72,205,2009,MIN,1,16,16
Nick Paul,OTT,LW,30,1995-03-20,Mississauga,ON,CAN,CAN,75,223,2013,DAL,4,10,101
Nick Ritchie,BOS,LW,29,1995-12-05,Orangeville,ON,CAN,CAN,75,236,2014,ANA,1,10,10
Nick Schmaltz,ARI,C,29,1996-02-23,Madison,WI,USA,USA,72,181,2014,CHI,1,20,20
Nick Suzuki,MTL,C,25,1999-08-10,London,ON,CAN,CAN,71,208,2017,VGK,1,13,13
Nicklas Backstrom,WSH,C,37,1987-11-23,Gavle,,SWE,SWE,73,202,2006,WSH,1,4,4
Nico Hischier,NJD,C,26,1999-01-04,Brig,,CHE,CHE,73,175,2017,N.J,1,1,1
Nico Sturm,MIN,C,30,1995-05-03,Augsburg,,DEU,DEU,75,209,-,-,-,-,-
Nicolas Aube-Kubel,PHI,RW,28,1996-05-10,Slave Lake,AB,CAN,CAN,72,207,2014,PHI,2,18,48
Nicolas Beaudin,CHI,D,25,1999-10-09,Chateauguay,QC,CAN,CAN,71,168,2018,CHI,1,27,27
Nicolas Deslauriers,ANA,LW,34,1991-02-22,LaSalle,QC,CAN,CAN,73,220,2009,L.A,3,23,84
Nicolas Hague,VGK,D,26,1998-12-05,Kitchener,ON,CAN,CAN,78,230,2017,VGK,2,3,34
Nicolas Meloche,SJS,D,27,1997-07-18,LaSalle,QC,CAN,CAN,75,203,2015,COL,2,10,40
Nicolas Roy,VGK,C,28,1997-02-05,Amos,QC,CAN,CAN,76,202,2015,CAR,4,5,96
Nikita Gusev,"FLA, NJD",LW,32,1992-07-08,Moscow,,RUS,RUS,69,163,2012,T.B,7,21,202
Nikita Nesterov,CGY,D,32,1993-03-28,Chelyabinsk,,RUS,RUS,71,191,2011,T.B,5,27,148
Nikita Zadorov,CHI,D,30,1995-04-16,Moscow,,RUS,RUS,78,248,2013,BUF,1,16,16
Nikita Zaitsev,OTT,D,33,1991-10-29,Moscow,,RUS,RUS,74,192,-,-,-,-,-
Niklas Hjalmarsson,ARI,D,37,1987-06-06,Eksjo,,SWE,SWE,75,197,2005,CHI,4,17,108
Niko Mikkola,STL,D,29,1996-04-27,Finland,,FIN,FIN,76,209,2015,STL,5,6,127
Nikolai Knyzhov,SJS,D,28,1997-03-20,KEMEROVO,,RUS,RUS,75,222,-,-,-,-,-
Nikolaj Ehlers,WPG,LW,29,1996-02-14,Aalborg,,DNK,DNK,72,169,2014,WPG,1,9,9
Nils Hoglander,VAN,LW,24,2000-12-20,BOCKTRaSK,,SWE,SWE,69,185,2019,VAN,2,9,40
Nino Niederreiter,CAR,RW,32,1992-09-08,Chur,,CHE,CHE,74,218,2010,NYI,1,5,5
Noah Dobson,NYI,D,25,2000-01-07,Summerside,PE,CAN,CAN,76,194,2018,NYI,1,12,12
Noah Gregor,SJS,C,26,1998-07-28,Beaumont,AB,CAN,CAN,72,190,2016,S.J,4,20,111
Noah Hanifin,CGY,D,28,1997-01-25,Boston,MA,USA,USA,75,207,2015,CAR,1,5,5
Noah Juulsen,FLA,D,28,1997-04-02,Surrey,BC,CAN,CAN,74,201,2015,MTL,1,26,26
Noel Acciari,FLA,C,33,1991-12-01,Johnston,RI,USA,USA,70,209,-,-,-,-,-
Nolan Foote,NJD,LW,24,2000-11-29,Denver,CO,USA,USA,75,196,2019,T.B,1,27,27
Nolan Patrick,PHI,C,26,1998-09-19,Winnipeg,MB,CAN,CAN,74,201,2017,PHI,1,2,2
Oliver Bjorkstrand,CBJ,RW,30,1995-04-10,Herning,,DNK,DNK,72,175,2013,CBJ,3,28,89
Oliver Ekman-Larsson,ARI,D,33,1991-07-17,Karlskrona,,SWE,SWE,74,200,2009,PHX,1,6,6
Oliver Kylington,CGY,D,27,1997-05-19,Stockholm,,SWE,SWE,72,183,2015,CGY,2,30,60
Oliver Wahlstrom,NYI,RW,24,2000-06-13,Portland,ME,USA,USA,74,204,2018,NYI,1,11,11
Olle Alsing,OTT,D,29,1996-05-01,Uppsala,,SWE,SWE,71,170,-,-,-,-,-
Olli Juolevi,VAN,D,26,1998-05-05,Helsinki,,FIN,FIN,74,182,2016,VAN,1,5,5
Olli Maatta,LAK,D,30,1994-08-22,Jyvaskyla,,FIN,FIN,74,207,2012,PIT,1,22,22
Ondrej Kase,BOS,RW,29,1995-11-08,Kadan,,CZE,CZE,72,187,2014,ANA,7,25,205
Ondrej Palat,TBL,LW,34,1991-03-28,Frydek-Mistek,,CZE,CZE,72,194,2011,T.B,7,27,208
